Word Count,Error Frequency,Text with OCR Error,Corrected Text
2,0.29,LETER .,LETTER I.
4,0.23,To MMr. G. H.,To Mr. G. H.
6,0,"Dear Sir Oxon, July 18, 1734.","Dear Sir Oxon, July 18, 1734."
8,0,HAVING heard the melancholy news of your brother's,HAVING heard the melancholy news of your brother's
11,0,"death, I could not help sending you a line, to let","death, I could not help sending you a line, to let"
10,0.27,"yoou  knowho wmuc hI am oncernd.. IInIdoed,I can-","you know how much I am concerned. Indeed, I can-"
13,0.26,"not  xay I  am som u(h giaaevct n his accouunt, as for that","not say, I am so much grieved on his account, as for that"
11,0.32,"sororw, uhch te los of  sb vauuabl e   outh mostnecesariy","sorrow, which the loss of so valuable a youth must necessarily"
11,0.25,occaasinto all hisrelations.  oI rratheenvy him his,occasion to all his relations. No! I rather envy him his
7,0.25,"blexxesd coondi1iton.. He,, unuetionablly is divin3lYy lisseed,","blessed condition. He, unquestionably is divinely blessed,"
11,0.26,"whilSt wweer3e sfill left behind to wrsftle iht unrluy pasxsions,","whilst we are still left behind to wrestle with unruly passions,"
11,0,and by a continued looking unto Jesus and running in our,and by a continued looking unto Jesus and running in our
11,0.24,"cchri5tiau race, to precf oorwuaard ot tthat high qprize, of which","christian race, to prefs forward to that high prize, of which"
12,0.31,"h, dar Yooµh, i snow nfll fruiionn. These aRroy m true","he, dear Youth, is now in full fruition. These are my true"
11,0.25,"sentimentxs abbt his deaatbh; 1 leoavee yaau t ojjudg etheun, wwhe-","sentiments about his death; I leave you to judge then, whe-"
12,0.27,ther I had nedb cqnceand on his aeccourn; uaand sureily as,ther I had need be concerned on his account; and surely was
13,0,"it to be put to your choice, whether so religious a young man","it to be put to your choice, whether so religious a young man"
15,0.25,"hsovulgd ive or diaae, ro one could be soo cRu3el a sto wish to   de1ani","should live or die, no one could be so cruel, as to wish to detain"
11,0.27,mfrom his wisHhed-offr glory.. Be no ttbenun too mucchoc  n-,him from his wished-for glory. Be not then too much con-
11,0.26,"cerrnod at his d3eatrm, bu le tux ra+her learn thatt wimpotant","cerned at his death, but let us rather learn that important"
11,0.26,"lessou,whiekh his whhole life ttaught :: ""Tha  thre is noo","lesson, which his whole life taught us: ""That there is no-"
10,0.28,"thig copauale ttoo an eaarnrly pieyt ""I thougnhtt o have","thing comparable to an early piety. ""I thought to have"
10,0.3,put nnany cgreele hhurs with him in cmhrstiavn and edEying,spent many agreeable hours with him in christian and edifying
11,0.28,"cohverssatio,n hen I caaee o QGloucesterr;btuh e is gone o","conversation, when I came to Gloucester; but he is gone to"
10,0,"more agreeable company, and long before now has joined the","more agreeable company, and long before now has joined the"
2,0.27,heavvenly  choi,heavenly choir.
11,0.32,"I sha noly ad,d,  ta ta your brroter imitte 0rblessed","I shall only add, that as your brother imitated our blessed"
13,0.29,"Saiivour iin his ife, so I ay Gqd, he may neeble himmmiin","Saviour in his life, so I pray God, he may resemble him in"
11,0.27,"hsi edatb, uad bCe  means, ike his beelorep eRdeemer, of","his death, and be a means, like his beloved Redeemer, of"
9,0,"reconciling all former animosities, which is the hearty wish","reconciling all former animosities, which is the hearty wish"
3,0.21,"of, eoar  Sir,","of, dear Sir,"
6,0,"Your sincere friend and humble servant,","Your sincere friend and humble servant,"
2,0.0,G. W.,G. W.
2,0,LETTER II.,LETTER II.
4,0.21,"To Mr,  gG. H.",To Mr. G. H.
6,0.26,"DeoqarS ir,  Bristtol, Sebt. 1,0 1734.","Dear Sir, Bristol, Sept. 10, 1734."
10,0.24,"TH5SI morning I wbrte to   you in hatse, expcefing Mr.","THIS morning I wrote to you in haste, expecting Mr."
10,0.28,"I. wOou1ld sooo eb gng;  t   t my great satisfacttion,","I. would soon be going; but to my great satisfaction,"
11,0.27," cae hither thi niiqt, and soon aftreward;s yaour  very much","he came hither this night, and soon afterwards, your very much"
10,0.23,wsnhed-far lette as brought to huannd; hich (cafter tenthOu-,wished-for letter was brought to hand; which (after ten thou-
11,0.29,snd tahnks ffo o any rcgpeated favokrs) I s hall uow beg,sand thanks for so many repeated favours) I shall now beg
11,0.3,"leave   ota nswerr. You tel me""M. . likes N."" Gd","leave to answer. You tell me ""Mr. P. likes N."" God"
9,0,be praised! That he hath recommended something to my,be praised! That he hath recommended something to my
11,0.32,"erusal. I'l reaadit,God willinkg, wwtth cae, c myrItnr.","perusal. I'll read it, God willing, with care, at my return."
10,0.27,"""Thaat he wwwanls to know my qualit,y sate  cqndition  ,ciuum-","""That he wants to know my quality, state, condition, circum-"
9,0.32,"""stauces, &c,."" lAa! that anyqe sshoul enqie fters vh","""stances, &c."" Alas! that anyone should enquire after such"
12,0,"a wr&ch as I am. However, since he hath been so kind,","a wr&ch as I am. However, since he hath been so kind,"
13,0,"pray tell him, that as for my quality, I was a poor, mean","pray tell him, that as for my quality, I was a poor, mean"
10,0,"drawer; but by the distinguishing grace of God, am now","drawer; but by the distinguishing grace of God, am now"
13,0.26,"intendedf or the mniiitry. As for my   estafe, ha 7tI  m  aser-","intended for the ministry. As for my estate, that I am a ser-"
12,0.31,"vitr; and as t ym cndit   oandd cricumstavnces,I have notof","vitor; and as to my condition and circumstances, I have not of"
13,0.27,"mg owna nyw erer tOo ly my hea,d uBt my friends, y Gocl's","my own any where to lay my head. But my friends, by God's"
11,0.32,"providnoce,inistgr daily to me,an dn lretunrfooaru ch un-","providence, minister daily to me, and in return for such un-"
9,0,"merited, unspeakable blessings, I trust the fame good Being","merited, unspeakable blessings, I trust the fame good Being"
11,0.27,vvwil give negrace to eddicate rnysef withotu rsaeve tao hhis,will give me grace to dedicate myself without reserve to his
11,0.24,"servico T o ""spond and bes pent"" foor the   welfalrcc otf my","service. To ""spend and be spent"" for the welfare of my"
8,0.25,"elllow-cr3etares, endeavourimg to promote   tho gospl sff hizs","fellow-creatures, endeavouring to promote the gospel of his"
12,0.29,SSonas mucch as lies iny  qpoor powe. But obsmev  his,"Son as much as lies in my poor power. But ""observe his"
9,0.24,"""huamliity,,""says Mr. H. Aye  ca1ch an ol dCrhristian","""humility,"" says Mr. H. Aye, catch an old Christian"
10,0,"without profound humility, if you can. Believe me, Sir, it","without profound humility, if you can. Believe me, Sir, it"
12,0.29,"s nothingb butt 1hisfliesh of ours,thhose uored feeds OoEf   te","is nothing but this flesh of ours, those cursed feeds of the"
12,0.26,"prudapaostate, which lie lnurkin 9ivn us,, bhat make ux too thunk","proud apostate, which lie lurking in us, that make us to think"
11,0.27,urseIves worthyo f the veri   air  webreathc.WW Hen   oourr eyos,ourselves worthy of the very air we breathe. When our eyes
11,0.28,"ar eopneed  by t enflu3ences of ivie rae, we tmhen  shall","are opened by the influences of divine grace, we then shall"
12,0,"begin to think of ourselves as we ought to think, even, that","begin to think of ourselves as we ought to think, even, that"
12,0,"God is all, and we are less than nothing. Well, you may-","God is all, and we are less than nothing. Well, you may-"
13,0.26,"cry, O nbhappy tiempe,r coouIld I bat llearvn of Chriit to be meek","cry, O happy temper, could I but learn of Christ to be meek"
12,0,and lowly in hearty I should certainly find rest to my soul.,and lowly in hearty I should certainly find rest to my soul.
13,0.26,"May God, for his dea Son''s sae, gie  il1q y,u t wm3e,","May God, for his dear Son's sake, give it to you, to me,"
12,0,"and to all our dear friends! ""Some like, some dislike the ex-","and to all our dear friends! ""Some like, some dislike the ex-"
13,0.29,"""trat"" yoou say. I d noItt do , topleasg  man, ott od.","""tract,"" you say. I did not do it, to please man, but God."
11,0,"""Mr. W. is too much engaged in temporals."" Is he? Oh","""Mr. W. is too much engaged in temporals."" Is he? Oh"
13,0,"dear Sir, pray that when I enter the ministry, I may be wholly","dear Sir, pray that when I enter the ministry, I may be wholly"
